Mining Community Structures in Multidimensional Networks,Oualid Boutemine (Université du Québec à Montréal);Mohamed Bouguessa (Université du Québec à Montréal);,"2727640811,1172064443","We investigate the problem of community detection in multidimensional networks, that is, networks where entities engage in various interaction types (dimensions) simultaneously. While some approaches have been proposed to identify community structures in multidimensional networks, there are a number of problems still to solve. In fact, the majority of the proposed approaches suffer from one or even more of the following limitations: (1) difficulty detecting communities in networks characterized by the presence of many irrelevant dimensions, (2) lack of systematic procedures to explicitly identify the relevant dimensions of each community, and (3) dependence on a set of user-supplied parameters, including the number of communities, that require a proper tuning. Most of the existing approaches are inadequate for dealing with these three issues in a unified framework. In this paper, we develop a novel approach that is capable of addressing the aforementioned limitations in a single framework. The proposed approach allows automated identification of communities and their sub-dimensional spaces using a novel objective function and a constrained label propagation-based optimization strategy. By leveraging the relevance of dimensions at the node level, the strategy aims to maximize the number of relevant within-community links while keeping track of the most relevant dimensions. A notable feature of the proposed approach is that it is able to automatically identify low dimensional community structures embedded in a high dimensional space. Experiments on synthetic and real multidimensional networks illustrate the suitability of the new method.",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 4 pp 1-36,social network;data science;data mining;machine learning;computer science;
Large-Scale Online Feature Selection for Ultra-High Dimensional Sparse Data,Yue Wu (University of Science and Technology of China);Steven C. H. Hoi (Singapore Management University);Tao Mei (University of Science and Technology of China);Nenghai Yu (University of Science and Technology of China);,"2671963505,108406206,2735596732,2150264287","Feature selection (FS) is an important technique in machine learning and data mining, especially for large-scale high-dimensional data. Most existing studies have been restricted to batch learning, which is often inefficient and poorly scalable when handling big data in real world. As real data may arrive sequentially and continuously, batch learning has to retrain the model for the new coming data, which is very computationally intensive. Online feature selection (OFS) is a promising new paradigm that is more efficient and scalable than batch learning algorithms. However, existing online algorithms usually fall short in their inferior efficacy. In this article, we present a novel second-order OFS algorithm that is simple yet effective, very fast and extremely scalable to deal with large-scale ultra-high dimensional sparse data streams. The basic idea is to exploit the second-order information to choose the subset of important features with high confidence weights. Unlike existing OFS methods that often suffer from extra high computational cost, we devise a novel algorithm with a MaxHeap-based approach, which is not only more effective than the existing first-order algorithms, but also significantly more efficient and scalable. Our extensive experiments validated that the proposed technique achieves highly competitive accuracy as compared with state-of-the-art batch FS methods, meanwhile it consumes significantly less computational cost that is orders of magnitude lower. Impressively, on a billion-scale synthetic dataset (1-billion dimensions, 1-billion non-zero features, and 1-million samples), the proposed algorithm takes less than 3 minutes to run on a single PC.",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 4 pp 1-22,sparsity of effects principle;feature selection;data science;data mining;machine learning;computer science;
Profit Maximization with Sufficient Customer Satisfactions,Cheng Long (Hong Kong University of Science and Technology);Raymond Chi-Wing Wong (Hong Kong University of Science and Technology);Victor Junqiu Wei (Hong Kong University of Science and Technology);,"2121257162,2125027556,2613994380",-,2017,ACM Transactions on Knowledge Discovery From Data,customer profitability;customer lifetime value;
A Randomized Rounding Algorithm for Sparse PCA,"Kimon Fountoulakis (University of California, Berkeley);Abhisek Kundu (Xerox);Eugenia-Maria Kontopoulou (Purdue University);Petros Drineas (Purdue University);","2066855417,2613192177,2487152164,2688576445","We present and analyze a simple, two-step algorithm to approximate the optimal solution of the sparse PCA problem. In the proposed approach, we first solve an e 1 -penalized version of the NP-hard sparse PCA optimization problem and then we use a randomized rounding strategy to sparsify the resulting dense solution. Our main theoretical result guarantees an additive error approximation and provides a tradeoff between sparsity and accuracy. Extensive experimental evaluation indicates that the proposed approach is competitive in practice, even compared to state-of-the-art toolboxes such as Spasm.",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 3 pp 38,econometrics;mathematical optimization;statistics;computer science;mathematics;
Recommendations Based on Comprehensively Exploiting the Latent Factors Hidden in Items’ Ratings and Content,Shanshan Feng (Shanghai Jiao Tong University);Jian Cao (Shanghai Jiao Tong University);Jie Wang (Stanford University);Shiyou Qian (Shanghai Jiao Tong University);,"2705771842,2662156794,2235798403,2153059418","To improve the performance of recommender systems in a practical manner, several hybrid approaches have been developed by considering item ratings and content information simultaneously. However, most of these hybrid approaches make recommendations based on aggregating different recommendation techniques using various strategies, rather than considering joint modeling of the item’s ratings and content, and thus fail to detect many latent factors that could potentially improve the performance of the recommender systems. For this reason, these approaches continue to suffer from data sparsity and do not work well for recommending items to individual users. A few studies try to describe a user’s preference by detecting items’ latent features from content-description texts as compensation for the sparse ratings. Unfortunately, most of these methods are still generally unable to accomplish recommendation tasks well for two reasons: (1) they learn latent factors from text descriptions or user--item ratings independently, rather than combining them together; and (2) influences of latent factors hidden in texts and ratings are not fully explored. In this study, we propose a probabilistic approach that we denote as latent random walk (LRW) based on the combination of an integrated latent topic model and random walk (RW) with the restart method, which can be used to rank items according to expected user preferences by detecting both their explicit and implicit correlative information, in order to recommend top-ranked items to potentially interested users. As presented in this article, the goal of this work is to comprehensively discover latent factors hidden in items’ ratings and content in order to alleviate the data sparsity problem and to improve the performance of recommender systems. The proposed topic model provides a generative probabilistic framework that discovers users’ implicit preferences and items’ latent features simultaneously by exploiting both ratings and item content information. On the basis of this probabilistic framework, RW can predict a user’s preference for unrated items by discovering global latent relations. In order to show the efficiency of the proposed approach, we test LRW and other state-of-the-art methods on three real-world datasets, namely, CAMRa2011, Yahooe, and APP. The experiments indicate that our approach outperforms all comparative methods and, in addition, that it is less sensitive to the data sparsity problem, thus demonstrating the robustness of LRW for recommendation tasks.",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 3 pp 35,probabilistic latent semantic analysis;recommender system;data science;data mining;machine learning;computer science;
Learning Multiple Diagnosis Codes for ICU Patients with Local Disease Correlation Mining,"Sen Wang (Griffith University);Xue Li (University of Queensland);Xiaojun Chang* (Carnegie Mellon University);Lina Yao (University of New South Wales);Quan Z. Sheng (Macquarie University);Guodong Long (University of Technology, Sydney);","2190973644,2239470812,2145609423,2223456168,1740996049,2708115987","In the era of big data, a mechanism that can automatically annotate disease codes to patients’ records in the medical information system is in demand. The purpose of this work is to propose a framework that automatically annotates the disease labels of multi-source patient data in Intensive Care Units (ICUs). We extract features from two main sources, medical charts and notes. The Bag-of-Words model is used to encode the features. Unlike most of the existing multi-label learning algorithms that globally consider correlations between diseases, our model learns disease correlation locally in the patient data. To achieve this, we derive a local disease correlation representation to enrich the discriminant power of each patient data. This representation is embedded into a unified multi-label learning framework. We develop an alternating algorithm to iteratively optimize the objective function. Extensive experiments have been conducted on a real-world ICU database. We have compared our algorithm with representative multi-label learning algorithms. Evaluation results have shown that our proposed method has state-of-the-art performance in the annotation of multiple diagnostic codes for ICU patients. This study suggests that problems in the automated diagnosis code annotation can be reliably addressed by using a multi-label learning model that exploits disease correlation. The findings of this study will greatly benefit health care and management in ICU considering that the automated diagnosis code annotation can significantly improve the quality and management of health care for both patients and caregivers.",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 3 pp 31,data science;bioinformatics;data mining;machine learning;computer science;
Scalable and Efficient Flow-Based Community Detection for Large-Scale Graph Analysis,Seung-Hee Bae (University of Washington);Daniel Halperin (University of Washington);Jevin D. West (University of Washington);Martin Rosvall (Umeå University);Bill Howe (University of Washington);,"2478442059,2010099130,2162292103,1999253335,2095906382","Community detection is an increasingly popular approach to uncover important structures in large networks. Flow-based community detection methods rely on communication patterns of the network rather than structural properties to determine communities. The Infomap algorithm in particular optimizes a novel objective function called the map equation and has been shown to outperform other approaches in third-party benchmarks. However, Infomap and its variants are inherently sequential, limiting their use for large-scale graphs. In this article, we propose a novel algorithm to optimize the map equation called RelaxMap. RelaxMap provides two important improvements over Infomap: parallelization, so that the map equation can be optimized over much larger graphs, and prioritization, so that the most important work occurs first, iterations take less time, and the algorithm converges faster. We implement these techniques using OpenMP on shared-memory multicore systems, and evaluate our approach on a variety of graphs from standard graph clustering benchmarks as well as real graph datasets. Our evaluation shows that both techniques are effective: RelaxMap achieves 70% parallel efficiency on eight cores, and prioritization improves algorithm performance by an additional 20--50% on average, depending on the graph properties. Additionally, RelaxMap converges in the similar number of iterations and provides solutions of equivalent quality as the serial Infomap implementation.",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 3 pp 32,power graph analysis;theoretical computer science;data mining;machine learning;computer science;mathematics;
An Influence Propagation View of PageRank,Qi Liu (University of Science and Technology of China);Biao Xiang (University of Science and Technology of China);Nicholas Jing Yuan (Microsoft);Enhong Chen (University of Science and Technology of China);Hui Xiong (Rutgers University);Yi Zheng (University of Science and Technology of China);Yu Yang (Simon Fraser University);,"2420624292,2099862789,2096490164,2136372366,2153710278,2489442630,2656169315","For a long time, PageRank has been widely used for authority computation and has been adopted as a solid baseline for evaluating social influence related applications. However, when measuring the authority of network nodes, the traditional PageRank method does not take the nodes’ prior knowledge into consideration. Also, the connection between PageRank and social influence modeling methods is not clearly established. To that end, this article provides a focused study on understanding PageRank as well as the relationship between PageRank and social influence analysis. Along this line, we first propose a linear social influence model and reveal that this model generalizes the PageRank-based authority computation by introducing some constraints. Then, we show that the authority computation by PageRank can be enhanced if exploiting more reasonable constraints (e.g., from prior knowledge). Next, to deal with the computational challenge of linear model with general constraints, we provide an upper bound for identifying nodes with top authorities. Moreover, we extend the proposed linear model for better measuring the authority of the given node sets, and we also demonstrate the way to quickly identify the top authoritative node sets. Finally, extensive experimental evaluations on four real-world networks validate the effectiveness of the proposed linear model with respect to different constraint settings. The results show that the methods with more reasonable constraints can lead to better ranking and recommendation performance. Meanwhile, the upper bounds formed by PageRank values could be used to quickly locate the nodes and node sets with the highest authorities.",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 3 pp 30,authority;prior probability;theoretical computer science;world wide web;data mining;computer science;
Partitioned Similarity Search with Cache-Conscious Data Traversal,"Xun Tang (University of California, Santa Barbara);Maha Alabduljalil (Kuwait University);Xin Jin (University of California, Santa Barbara);Tao Yang (University of California, Santa Barbara);","2227421255,2611326631,2525850132,2584189575","All pairs similarity search (APSS) is used in many web search and data mining applications. Previous work has used techniques such as comparison filtering, inverted indexing, and parallel accumulation of partial results. However, shuffling intermediate results can incur significant communication overhead as data scales up. This paper studies a scalable two-phase approach called Partition-based Similarity Search (PSS). The first phase is to partition the data and group vectors that are potentially similar. The second phase is to run a set of tasks where each task compares a partition of vectors with other candidate partitions. Due to data sparsity and the presence of memory hierarchy, accessing feature vectors during the partition comparison phase incurs significant overhead. This paper introduces a cache-conscious design for data layout and traversal to reduce access time through size-controlled data splitting and vector coalescing, and it provides an analysis to guide the choice of optimization parameters. The evaluation results show that for the tested datasets, the proposed approach can lead to an early elimination of unnecessary I/O and data communication while sustaining parallel efficiency with one order of magnitude of performance improvement and it can also be integrated with LSH for approximated APSS.",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 3 pp 34,theoretical computer science;data mining;database;machine learning;computer science;
Graph Manipulations for Fast Centrality Computation,Ahmet Erdem Sariyüce (Sandia National Laboratories);Kamer Kaya (Sabancı University);Erik Saule (University of North Carolina at Charlotte);Ümit V. Çatalyürek (Georgia Institute of Technology);,"84493114,2123746129,52716989,244960322","The betweenness and closeness metrics are widely used metrics in many network analysis applications. Yet, they are expensive to compute. For that reason, making the betweenness and closeness centrality computations faster is an important and well-studied problem. In this work, we propose the framework BADIOS that manipulates the graph by compressing it and splitting into pieces so that the centrality computation can be handled independently for each piece. Experimental results show that the proposed techniques can be a great arsenal to reduce the centrality computation time for various types and sizes of networks. In particular, it reduces the betweenness centrality computation time of a 4.6 million edges graph from more than 5 days to less than 16 hours. For the same graph, the closeness computation time is decreased from more than 3 days to 6 hours (12.7x speedup).",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 3 pp 26,alpha centrality;random walk closeness centrality;katz centrality;network controllability;centrality;betweenness centrality;shortest path problem;network theory;theoretical computer science;combinatorics;machine learning;mathematics;
Combining Structured Node Content and Topology Information for Networked Graph Clustering,"Ting Guo (University of Technology, Sydney);Jia Wu (University of Technology, Sydney);Xingquan Zhu (Florida Atlantic University);Chengqi Zhang (University of Technology, Sydney);","2627698251,2151584597,2618356905,2166080598","Graphs are popularly used to represent objects with shared dependency relationships. To date, all existing graph clustering algorithms consider each node as a single attribute or a set of independent attributes, without realizing that content inside each node may also have complex structures. In this article, we formulate a new networked graph clustering task where a network contains a set of inter-connected (or networked) super-nodes, each of which is a single-attribute graph. The new super-node representation is applicable to many real-world applications, such as a citation network where each node denotes a paper whose content can be described as a graph, and citation relationships between papers form a networked graph (i.e., a super-graph). Networked graph clustering aims to find similar node groups, each of which contains nodes with similar content and structure information. The main challenge is to properly calculate the similarity between super-nodes for clustering. To solve the problem, we propose to characterize node similarity by integrating structure and content information of each super-node. To measure node content similarity, we use cosine distance by considering overlapped attributes between two super-nodes. To measure structure similarity, we propose an Attributed Random Walk Kernel (ARWK) to calculate the similarity between super-nodes. Detailed node content analysis is also included to build relationships between super-nodes with shared internal structure information, so the structure similarity can be calculated in a precise way. By integrating the structure similarity and content similarity as one matrix, the spectral clustering is used to achieve networked graph clustering. Our method enjoys sound theoretical properties, including bounded similarities and better structure similarity assessment than traditional graph clustering methods. Experiments on real-world applications demonstrate that our method significantly outperforms baseline approaches.",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 3 pp 29,strength of a graph;voltage graph;complement graph;graph bandwidth;null graph;correlation clustering;clustering coefficient;graph;fuzzy clustering;kernel;cluster analysis;theoretical computer science;data mining;machine learning;computer science;mathematics;
Finding Dynamic Dense Subgraphs,Polina Rozenshtein (Helsinki Institute for Information Technology);Nikolaj Tatti (Helsinki Institute for Information Technology);Aristides Gionis (Helsinki Institute for Information Technology);,"285511381,1367500519,737311942","Online social networks are often defined by considering interactions of entities at an aggregate level. For example, a call graph is formed among individuals who have called each other at least once; or at least k times. Similarly, in social-media platforms, we consider implicit social networks among users who have interacted in some way, e.g., have made a conversation, have commented to the content of each other, and so on. Such definitions have been used widely in the literature and they have offered significant insights regarding the structure of social networks. However, it is obvious that they suffer from a severe limitation: They neglect the precise time that interactions among the network entities occur. In this article, we consider interaction networks , where the data description contains not only information about the underlying topology of the social network, but also the exact time instances that network entities interact. In an interaction network, an edge is associated with a timestamp, and multiple edges may occur for the same pair of entities. Consequently, interaction networks offer a more fine-grained representation, which can be leveraged to reveal otherwise hidden dynamic phenomena. In the setting of interaction networks, we study the problem of discovering dynamic dense subgraphs whose edges occur in short time intervals . We view such subgraphs as fingerprints of dynamic activity occurring within network communities. Such communities represent groups of individuals who interact with each other in specific time instances, for example, a group of employees who work on a project and whose interaction intensifies before certain project milestones. We prove that the problem we define is NP -hard, and we provide efficient algorithms by adapting techniques for finding dense subgraphs. We also show how to speed-up the proposed methods by exploiting concavity properties of our objective function and by the means of fractional programming . We perform extensive evaluation of the proposed methods on synthetic and real datasets, which demonstrates the validity of our approach and shows that our algorithms can be used to obtain high-quality results.",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 3 pp 27,evolving networks;dynamic network analysis;network motif;social network analysis;social science;distributed computing;data mining;machine learning;mathematics;
Spatial Prediction for Multivariate Non-Gaussian Data,"Xutong Liu (eBay);Feng Chen (University at Albany, SUNY);Yen-Cheng Lu (Virginia Tech);Chang-Tien Lu (Virginia Tech);","2165030298,2601749234,2225167469,2112878203","With the ever increasing volume of geo-referenced datasets, there is a real need for better statistical estimation and prediction techniques for spatial analysis. Most existing approaches focus on predicting multivariate Gaussian spatial processes, but as the data may consist of non-Gaussian (or mixed type) variables, this creates two challenges: (1) how to accurately capture the dependencies among different data types, both Gaussian and non-Gaussian; and (2) how to efficiently predict multivariate non-Gaussian spatial processes. In this article, we propose a generic approach for predicting multiple response variables of mixed types. The proposed approach accurately captures cross-spatial dependencies among response variables and reduces the computational burden by projecting the spatial process to a lower dimensional space with knot-based techniques. Efficient approximations are provided to estimate posterior marginals of latent variables for the predictive process, and extensive experimental evaluations based on both simulation and real-life datasets are provided to demonstrate the effectiveness and efficiency of this new approach.",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 3 pp 36,laplace s method;gaussian process;geostatistics;computational statistics;econometrics;data mining;machine learning;statistics;mathematics;
