On Dynamic Feature Weighting for Feature Drifting Data Streams,Jean Paul Barddal (Pontifícia Universidade Católica do Paraná);Heitor Murilo Gomes (Pontifícia Universidade Católica do Paraná);Fabrício Enembreck (Pontifícia Universidade Católica do Paraná);Bernhard Pfahringer (University of Waikato);Albert Bifet (Université Paris-Saclay);,"1993498403,2169824454,1946031537,1991131908,307521372",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,concept drift;data stream mining;data mining;pattern recognition;machine learning;computer science;
Huber-Norm Regularization for Linear Prediction Models,Oleksandr Zadorozhnyi (University of Potsdam);Gunthard Benecke (University of Potsdam);Stephan Mandt (Columbia University);Tobias Scheffer (University of Potsdam);Marius Kloft (Humboldt University of Berlin);,"2555701055,2556311103,2510738453,1974974032,2226538938",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,regularization perspectives on support vector machines;regularization;tikhonov regularization;
Proactive Transfer Learning for Heterogeneous Feature and Label Spaces,Seungwhan Moon (Carnegie Mellon University);Jaime G. Carbonell (Carnegie Mellon University);,"2147867962,2100444261",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,data mining;pattern recognition;machine learning;
Sequential Labeling with Online Deep Learning: Exploring Model Initialization,Gang Chen (University at Buffalo);Ran Xu (University at Buffalo);Sargur N. Srihari (University at Buffalo);,"2654289342,2684081480,2069509258",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,computer vision;pattern recognition;machine learning;
Learning Efficiently in Semantic Based Regularization,Michelangelo Diligenti;Marco Gori (University of Siena);Vincenzo Scoca;,"2433565767,2094020829,2554121344",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,first order logic;semi supervised learning;statistical relational learning;convex optimization;theoretical computer science;pattern recognition;artificial intelligence;machine learning;computer science;mathematics;
Composite Denoising Autoencoders,Krzysztof J. Geras (University of Edinburgh);Charles A. Sutton (University of Edinburgh);,"2043726908,2113665458",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
ECG Monitoring in Wearable Devices by Sparse Models,Diego Carrera (Instituto Politécnico Nacional);Beatrice Rossi (STMicroelectronics);Daniele Zambon (STMicroelectronics);Pasqualina Fragneto (STMicroelectronics);Giacomo Boracchi (Instituto Politécnico Nacional);,"2148568558,2138546651,2550225815,1656854999,331537796",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,anomaly detection;machine learning;computer science;
Credible Review Detection with Limited Information using Consistency Analysis,Subhabrata Mukherjee (Max Planck Society);Sourav Dutta (Max Planck Society);Gerhard Weikum (Max Planck Society);,"2301124665,2108022588,514836396",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,statistics;
PULSE: A Real Time System for Crowd Flow Prediction at Metropolitan Subway Stations,Ermal Toto (Worcester Polytechnic Institute);Elke A. Rundensteiner (Worcester Polytechnic Institute);Yanhua Li (Worcester Polytechnic Institute);Richard Jordan (Massachusetts Institute of Technology);Mariya Ishutkina (Massachusetts Institute of Technology);Kajal T. Claypool (Massachusetts Institute of Technology);Jun Luo (Chinese Academy of Sciences);Fan Zhang (Chinese Academy of Sciences);,"2141973158,2709761886,2160296268,2307730793,2018238007,2644300280,2658879683,2672883975",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,computer security;simulation;
A Hybrid Knowledge Discovery Approach for Mining Predictive Biomarkers in Metabolomic Data,Dhouha Grissa (Institut national de la recherche agronomique);Blandine Comte (Institut national de la recherche agronomique);Estelle Pujos-Guillot (Institut national de la recherche agronomique);Amedeo Napoli (Centre national de la recherche scientifique);,"2501248929,2442505543,2124186711,2141826860","The analysis of complex and massive biological data issued from metabolomic analytical platforms is a challenge of high importance. The analyzed datasets are constituted of a limited set of individuals and a large set of features where predictive biomarkers of clinical outcomes should be mined. Accordingly, in this paper, we propose a new hybrid knowledge discovery approach for discovering meaningful predic-tive biological patterns. This hybrid approach combines numerical classifiers such as SVM, Random Forests (RF) and ANOVA, with a symbolic method, namely Formal Concept Analysis (FCA). The related experiments show how we can discover among the best potential predictive biomarkers of metabolic diseases thanks to specific combinations of clas-sifiers mainly involving RF and ANOVA. The visualization of predictive biomarkers is based on heatmaps while FCA is mainly used for visual-ization and interpretation purposes, complementing the computational power of numerical methods.",2016,European Conference on Principles of Data Mining and Knowledge Discovery,formal concept analysis;prediction;metabolomics;data science;bioinformatics;data mining;machine learning;computer science;
Modeling Sequential Preferences with Dynamic User and Context Factors,Duc-Trong Le (Singapore Management University);Yuan Fang (University of Illinois at Urbana–Champaign);Hady Wirawan Lauw (Singapore Management University);,"2561070990,2323377214,2024254804",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,generative model;data mining;pattern recognition;machine learning;computer science;
Subgroup Discovery with Proper Scoring Rules,Hao Song;Meelis Kull (University of Bristol);Peter A Flach (University of Bristol);Georgios Kalogridis;,"2290010651,2588360585,1814273096,2720650694",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
Asynchronous Distributed Incremental Computation on Evolving Graphs,Jiangtao Yin (University of Massachusetts Amherst);Lixin Gao (University of Massachusetts Amherst);,"2162592334,2251223525",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
Efficient Distributed Decision Trees for Robust Regression,Tian Guo (École Polytechnique Fédérale de Lausanne);Konstantin Kutzkov (NEC);Mohammed Ahmed (NEC);Jean-Paul Calbimonte (École Polytechnique Fédérale de Lausanne);Karl Aberer (École Polytechnique Fédérale de Lausanne);,"2166312522,280017384,2551329195,671254235,150096297","The availability of massive volumes of data and recent advances in data collection and processing platforms have motivated the development of distributed machine learning algorithms. In numerous real-world applications large datasets are inevitably noisy and contain outliers. These outliers can dramatically degrade the performance of standard machine learning approaches such as regression trees. To this end, we present a novel distributed regression tree approach that utilizes robust regression statistics, statistics that are more robust to outliers, for handling large and noisy data. We propose to integrate robust statistics based error criteria into the regression tree. A data summarization method is developed and used to improve the efficiency of learning regression trees in the distributed setting. We implemented the proposed approach and baselines based on Apache Spark, a popular distributed data processing platform. Extensive experiments on both synthetic and real datasets verify the effectiveness and efficiency of our approach.",2016,European Conference on Principles of Data Mining and Knowledge Discovery,robust regression;decision tree;data mining;pattern recognition;machine learning;statistics;computer science;
Interactive Visual Data Exploration with Subjective Feedback,Kai Puolamäki (Aalto University);Bo Kang (Ghent University);Jefrey Lijffijt (Ghent University);Tijl De Bie (Ghent University);,"96415260,2497045425,2509450284,2522659473","Data visualization and iterative/interactive data mining are growing rapidly in attention, both in research as well as in industry. However, integrated methods and tools that combine advanced visualization and data mining techniques are rare, and those that exist are often specialized to a single problem or domain. In this paper, we introduce a novel generic method for interactive visual exploration of high-dimensional data. In contrast to most visualization tools, it is not based on the traditional dogma of manually zooming and rotating data. Instead, the tool initially presents the user with an ‘interesting’ projection of the data and then employs data randomization with constraints to allow users to flexibly and intuitively express their interests or beliefs using visual interactions that correspond to exactly defined constraints. These constraints expressed by the user are then taken into account by a projection-finding algorithm to compute a new ‘interesting’ projection, a process that can be iterated until the user runs out of time or finds that constraints explain everything she needs to find from the data. We present the tool by means of two case studies, one controlled study on synthetic data and another on real census data. The data and software related to this paper are available at http://www.interesting-patterns.net/forsied/interactive-visual-data-exploration-with-subjective-feedback/.",2016,European Conference on Principles of Data Mining and Knowledge Discovery,dimensionality reduction;data visualization;data science;world wide web;data mining;artificial intelligence;machine learning;computer science;
Functional Bid Landscape Forecasting for Display Advertising,Yuchen Wang (Shanghai Jiao Tong University);Kan Ren (Shanghai Jiao Tong University);Weinan Zhang (Shanghai Jiao Tong University);Jun Wang (University College London);Yong Yu (Shanghai Jiao Tong University);,"2650092587,2277084468,2527611484,2557836567,2119244895",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
Learning Language Models from Images with ReGLL,Leonor Becerra-Bonache (University of Lyon);Hendrik Blockeel (Katholieke Universiteit Leuven);Maria Galván (University of Lyon);François Jacquenet (University of Lyon);,"300175929,2049189351,2651694534,2312251186",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,first generation programming language;language primitive;very high level programming language;inductive transfer;inductive bias;multi task learning;robot learning;active learning;inductive programming;algorithmic learning theory;natural language programming;statistical relational learning;computational learning theory;instance based learning;natural language processing;machine learning;programming language;computer science;
Warped Matrix Factorisation for Multi-view Data Integration,Naruemon Pratanwanich (European Bioinformatics Institute);Pietro Lió (University of Cambridge);Oliver Stegle (European Bioinformatics Institute);,"84943128,2157341662,2617795430",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
INSIGHT: Dynamic Traffic Management Using Heterogeneous Urban Data,Nikolaos Panagiotou (National and Kapodistrian University of Athens);Nikolas Zygouras (National and Kapodistrian University of Athens);Ioannis Katakis (National and Kapodistrian University of Athens);Dimitrios Gunopulos (National and Kapodistrian University of Athens);Nikos Zacheilas (Athens University of Economics and Business);Ioannis Boutsis (Athens University of Economics and Business);Vana Kalogeraki (Athens University of Economics and Business);Stephen Lynch;Brendan O’Brien;Dermot Kinane;Jakub Mareček (IBM);Jia Yuan Yu (IBM);Rudi Verago (IBM);Elizabeth Daly (IBM);Nico Piatkowski (Technical University of Dortmund);Thomas Liebig (Technical University of Dortmund);Christian Bockermann (Technical University of Dortmund);Katharina Morik (Technical University of Dortmund);Francois Schnitzler (Technicolor);Matthias Weidlich (Humboldt University of Berlin);Avigdor Gal (Technion – Israel Institute of Technology);Shie Mannor (Technion – Israel Institute of Technology);Hendrik Stange (Fraunhofer Society);Werner Halft (Fraunhofer Society);Gennady Andrienko (Fraunhofer Society);,"2426281475,2231239752,1921192703,2712250546,2231694793,2071945290,2660388094,2507338237,2676789291,2108557573,2131547827,2103969243,836979935,2038745599,1739481293,2248456747,2042958492,2070565061,1999065754,2674397218,2116861371,2252608274,2123637669,2549923018,237265413",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
Improving Locality Sensitive Hashing Based Similarity Search and Estimation for Kernels,Aniket Chakrabarti (Ohio State University);Bortik Bandyopadhyay (Ohio State University);Srinivasan Parthasarathy (Ohio State University);,"2098684641,2509701196,2106796124",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,locality preserving hashing;pattern recognition;
Laplacian Hamiltonian Monte Carlo,Yizhe Zhang (Duke University);Changyou Chen (Duke University);Ricardo Henao (Duke University);Lawrence Carin (Duke University);,"2515564654,2156460610,2099325229,657437189",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,monte carlo method in statistical physics;diffusion monte carlo;quantum monte carlo;hybrid monte carlo;combinatorics;
Measuring the Stability of Feature Selection,Sarah Nogueira (University of Manchester);Gavin Brown (University of Manchester);,"2161096252,2589362712",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
Machine Learning Challenges for Single Cell Data,Sofie Van Gassen (Ghent University);Tom Dhaene (Ghent University);Yvan Saeys (Ghent University);,"2005862828,2034054990,1838593635","Recent technological advances in the fields of biology and medicine allow measuring single cells into unprecedented depth. This results in new types of high-throughput datasets that shed new lights on cell development, both in healthy as well as diseased tissues. However, studying these biological processes into greater detail crucially depends on novel computational techniques that efficiently mine single cell data sets. In this paper, we introduce machine learning techniques for single cell data analysis: we summarize the main developments in the field, and highlight a number of interesting new avenues that will likely stimulate the design of new types of machine learning algorithms.",2016,European Conference on Principles of Data Mining and Knowledge Discovery,data science;bioinformatics;data mining;artificial intelligence;machine learning;computer science;
Active Learning with Rationales for Identifying Operationally Significant Anomalies in Aviation,Manali Sharma (Illinois Institute of Technology);Kamalika Das (Ames Research Center);Mustafa Bilgic 0001 (Illinois Institute of Technology);Bryan L. Matthews (Ames Research Center);David Nielsen (Ames Research Center);Nikunj C. Oza (Ames Research Center);,"2107515560,2130991957,2010936866,2149808489,2505220557,2047114418",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,warning system;active learning;anomaly detection;computer security;data mining;machine learning;simulation;computer science;
Maximizing Time-Decaying Influence in Social Networks,Naoto Ohsaka (University of Tokyo);Yutaro Yamaguchi (Osaka University);Naonori Kakimura (University of Tokyo);Ken-ichi Kawarabayashi (National Institute of Informatics);,"1892898320,2147507415,261735822,563105935",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
Stochastic CoSaMP: Randomizing Greedy Pursuit for Sparse Signal Recovery,Dipan K. Pal (Carnegie Mellon University);Ole J. Mengshoel (Carnegie Mellon University);,"2170265100,2008986367",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,pattern recognition;machine learning;mathematical optimization;computer science;
An efficient exact algorithm for triangle listing in large graphs,Sofiane Lagraa (Centre national de la recherche scientifique);Hamida Seba (University of Lyon);,"1988744000,1979875134","This paper presents a new efficient exact algorithm for listing triangles in a large graph. While the problem of listing triangles in a graph has been considered before, dealing with large graphs continues to be a challenge. Although previous research has attempted to tackle the challenge, this is the first contribution that addresses this problem on a compressed copy of the input graph. In fact, the proposed solution lists the triangles without decompressing the graph. This yields interesting improvements in both storage requirement of the graphs and their time processing.",2016,European Conference on Principles of Data Mining and Knowledge Discovery,partial k tree;voltage graph;indifference graph;forbidden graph characterization;coxeter graph;pancyclic graph;1 planar graph;graph operations;comparability graph;universal graph;block graph;lattice graph;cograph;graph product;clique width;outerplanar graph;symmetric graph;modular decomposition;pathwidth;line graph;theoretical computer science;discrete mathematics;combinatorics;mathematics;
DANCer: Dynamic Attributed Network with Community Structure Generator,Oualid Benyahia (Jean Monnet University);Christine Largeron (University of Lyon);Baptiste Jeudy (University of Lyon);Osmar R. Zaïane (University of Alberta);,"2292635790,361319035,2240884582,2308328903","We propose a new generator for dynamic attributed networks with community structure which follow the known properties of real-world networks such as preferential attachment, small world and ho-mophily. After the generation, the different graphs forming the dynamic network as well as its evolution can be displayed in the interface. Several measures are also computed to evaluate the properties verified by each graph. Finally, the generated dynamic network, the parameters and the measures can be saved as a collection of files.",2016,European Conference on Principles of Data Mining and Knowledge Discovery,dynamic network analysis;network formation;data mining;artificial intelligence;machine learning;computer science;
TwitterCracy: Exploratory Monitoring of Twitter Streams for the 2016 U.S. Presidential Election Cycle,M. Atif Qureshi (University College Dublin);Arjumand Younus (University College Dublin);Derek Greene (University College Dublin);,"2517301833,2565028628,2131371111","European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML-PKDD ’16), Riva del Garda, 19-23 September 2016",2016,European Conference on Principles of Data Mining and Knowledge Discovery,data science;world wide web;data mining;machine learning;statistics;computer science;
Topy: Real-Time Story Tracking via Social Tags,Gevorg Poghosyan (University College Dublin);M. Atif Qureshi (University College Dublin);Georgiana Ifrim (University College Dublin);,"2703632302,2517301833,1530320959","The European Conference on Machine Learning and Principles and Practice of Knowledge Discovery (ECML-PKDD), Riva del Garda, Italy, 19-23 September 2016",2016,European Conference on Principles of Data Mining and Knowledge Discovery,news;social media;data science;world wide web;machine learning;statistics;computer science;
Do Street Fairs Boost Local Businesses? A Quasi-Experimental Analysis Using Social Network Data,Ke Zhang (University of Pittsburgh);Konstantinos Pelechrinis (University of Pittsburgh);,"2288398844,155875377","Local businesses and retail stores are a crucial part of local economy. Local governments design policies for facilitating the growth of these businesses that can consequently have positive externalities on the local community. However, many times these policies have completely opposite from the expected results (e.g., free curb parking instead of helping businesses has been illustrated to actually hurt them due to the small turnover per spot). Hence, it is important to evaluate the outcome of such policies in order to provide educated decisions for the future. In the era of social and ubiquitous computing, mobile social media, such as Foursquare, form a platform that can help towards this goal. Data from these platforms capture semantic information of human mobility from which we can distill the potential economic activities taking place. In this paper we focus on street fairs (e.g., arts festivals) and evaluate their ability to boost economic activities in their vicinity. In particular, we collected data from Foursquare for the three month period between June 2015 and August 2015 from the city of Pittsburgh. During this period several street fairs took place. Using these events as our case study we analyzed the data utilizing propensity score matching and a quasi- experimental technique inspired by the difference-in-differences method. Our results indicate that street fairs provide positive externalities to nearby businesses. We further analyzed the spatial reach of this impact and we find that it can extend up to 0.6 miles from the epicenter of the event.",2016,European Conference on Principles of Data Mining and Knowledge Discovery,data mining;artificial intelligence;simulation;
Continuous Kernel Learning,John Moeller (University of Utah);Vivek Srikumar (University of Utah);Sarathkrishna Swaminathan (University of Utah);Suresh Venkatasubramanian (University of Utah);Dustin Webb (University of Utah);,"2127350133,2707726277,2512761214,2090109395,2108107062",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,tree kernel;polynomial kernel;radial basis function kernel;kernel method;semi supervised learning;
Cancer: Another Algorithm for Subtropical Matrix Factorization,Sanjar Karaev (Max Planck Society);Pauli Miettinen (Max Planck Society);,"2129185059,2015634213",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
Personality-Based User Modeling for Music Recommender Systems,Bruce Ferwerda (Johannes Kepler University of Linz);Markus Schedl (Johannes Kepler University of Linz);,"1901140843,2012618226",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,human computer interaction;multimedia;world wide web;
Ranking Researchers Through Collaboration Pattern Analysis,Mario Cataldi (École Centrale Paris);Luigi Di Caro (University of Turin);Claudio Schifanella (University of Turin);,"2101211219,2153458393,17144103",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,bibliometrics;data science;world wide web;data mining;artificial intelligence;computer science;
Augmented Leverage Score Sampling with Bounds,Daniel J. Perry (University of Utah);Ross T. Whitaker (University of Utah);,"2248157211,2124784654",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,partial leverage;leverage;econometrics;pattern recognition;statistics;mathematics;
Coordinate Transformations for Characterization and Cluster Analysis of Spatial Configurations in Football,Gennady L. Andrienko (Fraunhofer Society);Natalia V. Andrienko (Fraunhofer Society);Guido Budziak (Eindhoven University of Technology);Tatiana von Landesberger (Technische Universität Darmstadt);Hendrik Weber;,"237265413,1983982202,2559683684,110159255,2559088388","Current technologies allow movements of the players and the ball in football matches to be tracked and recorded with high accuracy and temporal frequency. We demonstrate an approach to analyzing football data with the aim to find typical patterns of spatial arrangement of the field players. It involves transformation of original coordinates to relative positions of the players and the ball with respect to the center and attack vector of each team. From these relative positions, we derive features for characterizing spatial configurations in different time steps during a football game. We apply clustering to these features, which groups the spatial configurations by similarity. By summarizing groups of similar configurations, we obtain representation of spatial arrangement patterns practiced by each team. The patterns are represented visually by density maps built in the teams’ relative coordinate systems. Using additional displays, we can investigate under what conditions each pattern was applied.",2016,European Conference on Principles of Data Mining and Knowledge Discovery,multimedia;computer vision;simulation;computer science;
Automatic Detection of Non-Biological Artifacts in ECGs Acquired During Cardiac Computed Tomography,Rustem Bekmukhametov (Technische Universität München);Sebastian Pölsterl (Technische Universität München);Thomas Allmendinger (Siemens Healthcare);Minh-Duc Doan (Siemens Healthcare);Nassir Navab (Technische Universität München);,"2533633156,317342910,2227770740,2533065682,572302453",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
An Online Gibbs Sampler Algorithm for Hierarchical Dirichlet Processes Prior,Yongdai Kim (Seoul National University);Minwoo Chae (University of Texas at Austin);Kuhwan Jeong (Seoul National University);Byungyup Kang;Hyoju Chung;,"2710993248,2561498149,2563083299,2562155666,2685123740",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,pattern recognition;machine learning;statistics;
Node Re-Ordering as a Means of Anomaly Detection in Time-Evolving Graphs,"Lida Rashidi (NICTA);Andrey Kan (University of Melbourne);James Bailey (University of Melbourne);Jeffrey Chan (RMIT University);Christopher Leckie (University of Melbourne);Wei Liu (University of Technology, Sydney);Sutharshan Rajasegarar (Deakin University);Kotagiri Ramamohanarao (University of Melbourne);","2052345062,2131037926,2131557737,2408228308,2111831791,2172864801,249221098,123309386",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,internet privacy;computer security;computer network;computer science;
Efficient Discovery of Sets of Co-occurring Items in Event Sequences,Boris Cule (University of Antwerp);Len Feremans (University of Antwerp);Bart Goethals (University of Antwerp);,"2158578835,2547041028,2696891228",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,information retrieval;data mining;pattern recognition;
Robust Principal Component Analysis by Reverse Iterative Linear Programming,Andrea Visentin (University College Cork);Steven David Prestwich (University College Cork);S. Armagan Tarim (Çankaya University);,"2568876407,2163337453,2060703318",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,mathematical optimization;
Query Log Mining for Inferring User Tasks and Needs,Rishabh Mehrotra (University College London);Emine Yilmaz (University College London);,"2257322374,2342836604",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,data science;world wide web;data mining;
Exploring a Mixed Representation for Encoding Temporal Coherence,Jon Parkinson (University of Manchester);Ubai Sandouk (University of Manchester);Ke Chen (University of Manchester);,"2566364652,2277266801,2609046151",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
Attribute Conjunction Learning with Recurrent Neural Network,Kongming Liang (Chinese Academy of Sciences);Hong Chang (Chinese Academy of Sciences);Shiguang Shan (Chinese Academy of Sciences);Xilin Chen (Chinese Academy of Sciences);,"2215430157,2464366260,2071998504,2099541584",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,time delay neural network;deep learning;pattern recognition;artificial intelligence;machine learning;
Actively Interacting with Experts: A Probabilistic Logic Approach,Phillip Odom (Indiana University);Sriraam Natarajan (Indiana University);,"2583559562,2156930872",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
Coupled Hierarchical Dirichlet Process Mixtures for Simultaneous Clustering and Topic Modeling,Masamichi Shimosaka (Tokyo Institute of Technology);Takeshi Tsukiji (University of Tokyo);Shoji Tominaga (University of Tokyo);Kota Tsubouchi (Yahoo!);,"1891562777,2226285224,2267786874,2111687263",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
Asynchronous Feature Extraction for Large-Scale Linear Predictors,Shin Matsushima (University of Tokyo);,2153313846,"Learning from datasets with a massive number of possible features to obtain more accurate predictors is being intensively stud- ied. In this paper, we aim to perform effective learning by using the L1 regularized risk minimization problems regarding both time and space computational resources. This is accomplished by concentrating on the effective features from among a large number of unnecessary features. To achieve this, we propose a multithreaded scheme that simultaneously runs processes for developing seemingly important features in the main memory and updating parameters regarding only the important features. We verified our method through computational experiments, showing that our proposed scheme can handle terabyte-scale optimization prob- lems with one machine.",2016,European Conference on Principles of Data Mining and Knowledge Discovery,data mining;machine learning;simulation;computer science;
Detecting Public Influence on News Using Topic-Aware Dynamic Granger Test,"Lei Hou (Tsinghua University);Juanzi Li (Tsinghua University);Xiao-Li Li (Agency for Science, Technology and Research);Jianbin Jin (Tsinghua University);","2652913347,2129156004,2306607199,2650971816",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,internet privacy;world wide web;
Aggregating Crowdsourced Ordinal Labels via Bayesian Clustering,Xiawei Guo (Hong Kong University of Science and Technology);James T. Kwok (Hong Kong University of Science and Technology);,"2547385425,2111678102",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
Top-N Recommendation via Joint Cross-Domain User Clustering and Similarity Learning,Dimitrios Rafailidis (Aristotle University of Thessaloniki);Fabio Crestani (University of Lugano);,"2104576903,2303795236",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,cluster analysis;conceptual clustering;world wide web;information retrieval;data mining;
Incremental Commute Time Using Random Walks and Online Anomaly Detection,Nguyen Lu Dang Khoa (Commonwealth Scientific and Industrial Research Organisation);Sanjay Chawla (Qatar Computing Research Institute);,"2046895292,2201421368",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,random walk;combinatorics;machine learning;simulation;statistics;mathematics;
BASS: A Bootstrapping Approach for Aligning Heterogenous Social Networks,Xuezhi Cao (Shanghai Jiao Tong University);Yong Yu (Shanghai Jiao Tong University);,"2653580609,2119244895",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
